_input,_num,_widgetName,_source,_resultNumber,_pageUrl,rd_number,sel__number,player_link,player_link/_source,player_link/_title,player_link/_text,position,school
,1,2013 NFL Drafts,2013 NFL Drafts,1,http://www.nfl.com/draft/history/fulldraft?teamId=0325&type=team,1,32,http://www.nfl.com/players/mattelam/profile?id=ELA551596,/players/mattelam/profile?id=ELA551596,,Matt Elam,FS,Florida
,2,2013 NFL Drafts,2013 NFL Drafts,2,http://www.nfl.com/draft/history/fulldraft?teamId=0325&type=team,2,56,http://www.nfl.com/players/arthurbrown/profile?id=BRO267826,/players/arthurbrown/profile?id=BRO267826,,Arthur Brown,ILB,Kansas State
,3,2013 NFL Drafts,2013 NFL Drafts,3,http://www.nfl.com/draft/history/fulldraft?teamId=0325&type=team,3,94,http://www.nfl.com/players/brandonwilliams/profile?id=WIL156757,/players/brandonwilliams/profile?id=WIL156757,,Brandon Williams,DT,Missouri Southern State
,4,2013 NFL Drafts,2013 NFL Drafts,4,http://www.nfl.com/draft/history/fulldraft?teamId=0325&type=team,4,129,http://www.nfl.com/players/johnsimon/profile?id=SIM369947,/players/johnsimon/profile?id=SIM369947,,John Simon,LB,Ohio State
,5,2013 NFL Drafts,2013 NFL Drafts,5,http://www.nfl.com/draft/history/fulldraft?teamId=0325&type=team,4,130,http://www.nfl.com/players/kylejuszczyk/profile?id=JUS812736,/players/kylejuszczyk/profile?id=JUS812736,,Kyle Juszczyk,RB,Harvard
,6,2013 NFL Drafts,2013 NFL Drafts,6,http://www.nfl.com/draft/history/fulldraft?teamId=0325&type=team,5,168,http://www.nfl.com/players/rickywagner/profile?id=WAG554943,/players/rickywagner/profile?id=WAG554943,,Ricky Wagner,OT,Wisconsin
,7,2013 NFL Drafts,2013 NFL Drafts,7,http://www.nfl.com/draft/history/fulldraft?teamId=0325&type=team,6,200,http://www.nfl.com/players/kapronlewis-moore/profile?id=LEW814686,/players/kapronlewis-moore/profile?id=LEW814686,,Kapron Lewis-Moore,DE,Notre Dame
,8,2013 NFL Drafts,2013 NFL Drafts,8,http://www.nfl.com/draft/history/fulldraft?teamId=0325&type=team,6,203,http://www.nfl.com/players/ryanjensen/profile?id=JEN789150,/players/ryanjensen/profile?id=JEN789150,,Ryan Jensen,C,Southern Colorado
,9,2013 NFL Drafts,2013 NFL Drafts,9,http://www.nfl.com/draft/history/fulldraft?teamId=0325&type=team,7,238,http://www.nfl.com/players/aaronmellette/profile?id=MEL289611,/players/aaronmellette/profile?id=MEL289611,,Aaron Mellette,WR,Elon
,10,2013 NFL Drafts,2013 NFL Drafts,10,http://www.nfl.com/draft/history/fulldraft?teamId=0325&type=team,7,247,http://www.nfl.com/players/marcanthony/profile?id=ANT155143,/players/marcanthony/profile?id=ANT155143,,Marc Anthony,CB,California
,11,2013 NFL Drafts,2013 NFL Drafts,11,http://www.nfl.com/draft/history/fulldraft?teamId=0610&type=team,1,16,http://www.nfl.com/players/ejmanuel/profile?id=MAN738705,/players/ejmanuel/profile?id=MAN738705,,EJ Manuel,QB,Florida State
,12,2013 NFL Drafts,2013 NFL Drafts,12,http://www.nfl.com/draft/history/fulldraft?teamId=0610&type=team,2,41,http://www.nfl.com/players/robertwoods/profile?id=WOO561144,/players/robertwoods/profile?id=WOO561144,,Robert Woods,WR,USC
,13,2013 NFL Drafts,2013 NFL Drafts,13,http://www.nfl.com/draft/history/fulldraft?teamId=0610&type=team,2,46,http://www.nfl.com/players/kikoalonso/profile?id=ALO444955,/players/kikoalonso/profile?id=ALO444955,,Kiko Alonso,MLB,Oregon
,14,2013 NFL Drafts,2013 NFL Drafts,14,http://www.nfl.com/draft/history/fulldraft?teamId=0610&type=team,3,78,http://www.nfl.com/players/marquisegoodwin/profile?id=GOO681722,/players/marquisegoodwin/profile?id=GOO681722,,Marquise Goodwin,WR,Texas
,15,2013 NFL Drafts,2013 NFL Drafts,15,http://www.nfl.com/draft/history/fulldraft?teamId=0610&type=team,4,105,http://www.nfl.com/players/dukewilliams/profile?id=WIL438575,/players/dukewilliams/profile?id=WIL438575,,Duke Williams,FS,Nevada
,16,2013 NFL Drafts,2013 NFL Drafts,16,http://www.nfl.com/draft/history/fulldraft?teamId=0610&type=team,5,143,http://www.nfl.com/players/jonathanmeeks/profile?id=MEE559720,/players/jonathanmeeks/profile?id=MEE559720,,Jonathan Meeks,DB,Clemson
,17,2013 NFL Drafts,2013 NFL Drafts,17,http://www.nfl.com/draft/history/fulldraft?teamId=0610&type=team,6,177,http://www.nfl.com/players/dustinhopkins/profile?id=HOP165345,/players/dustinhopkins/profile?id=HOP165345,,Dustin Hopkins,K,Florida State
,18,2013 NFL Drafts,2013 NFL Drafts,18,http://www.nfl.com/draft/history/fulldraft?teamId=0610&type=team,7,222,http://www.nfl.com/players/chrisgragg/profile?id=GRA108585,/players/chrisgragg/profile?id=GRA108585,,Chris Gragg,TE,Arkansas
,19,2013 NFL Drafts,2013 NFL Drafts,19,http://www.nfl.com/draft/history/fulldraft?teamId=3800&type=team,1,7,http://www.nfl.com/players/jonathancooper/profile?id=COO615714,/players/jonathancooper/profile?id=COO615714,,Jonathan Cooper,OG,North Carolina
,20,2013 NFL Drafts,2013 NFL Drafts,20,http://www.nfl.com/draft/history/fulldraft?teamId=3800&type=team,2,45,http://www.nfl.com/players/kevinminter/profile?id=MIN670026,/players/kevinminter/profile?id=MIN670026,,Kevin Minter,LB,LSU
,21,2013 NFL Drafts,2013 NFL Drafts,21,http://www.nfl.com/draft/history/fulldraft?teamId=3800&type=team,3,69,http://www.nfl.com/players/tyrannmathieu/profile?id=MAT195206,/players/tyrannmathieu/profile?id=MAT195206,,Tyrann Mathieu,FS,LSU
,22,2013 NFL Drafts,2013 NFL Drafts,22,http://www.nfl.com/draft/history/fulldraft?teamId=3800&type=team,4,103,http://www.nfl.com/players/alexokafor/profile?id=OKA207645,/players/alexokafor/profile?id=OKA207645,,Alex Okafor,LB,Texas
,23,2013 NFL Drafts,2013 NFL Drafts,23,http://www.nfl.com/draft/history/fulldraft?teamId=3800&type=team,4,116,http://www.nfl.com/players/earlwatford/profile?id=WAT147534,/players/earlwatford/profile?id=WAT147534,,Earl Watford,OG,James Madison
,24,2013 NFL Drafts,2013 NFL Drafts,24,http://www.nfl.com/draft/history/fulldraft?teamId=3800&type=team,5,140,http://www.nfl.com/players/stepfantaylor/profile?id=TAY700784,/players/stepfantaylor/profile?id=TAY700784,,Stepfan Taylor,RB,Stanford
,25,2013 NFL Drafts,2013 NFL Drafts,25,http://www.nfl.com/draft/history/fulldraft?teamId=3800&type=team,6,174,http://www.nfl.com/players/ryanswope/profile?id=SWO576793,/players/ryanswope/profile?id=SWO576793,,Ryan Swope,--,Texas A&M
,26,2013 NFL Drafts,2013 NFL Drafts,26,http://www.nfl.com/draft/history/fulldraft?teamId=3800&type=team,6,187,http://www.nfl.com/players/andreellington/profile?id=ELL164917,/players/andreellington/profile?id=ELL164917,,Andre Ellington,RB,Clemson
,27,2013 NFL Drafts,2013 NFL Drafts,27,http://www.nfl.com/draft/history/fulldraft?teamId=3800&type=team,7,219,http://www.nfl.com/players/d.c.jefferson/profile?id=JEF171398,/players/d.c.jefferson/profile?id=JEF171398,,D.C. Jefferson,TE,Rutgers
,28,2013 NFL Drafts,2013 NFL Drafts,28,http://www.nfl.com/draft/history/fulldraft?teamId=0750&type=team,1,14,http://www.nfl.com/players/starlotulelei/profile?id=LOT652596,/players/starlotulelei/profile?id=LOT652596,,Star Lotulelei,DT,Utah
,29,2013 NFL Drafts,2013 NFL Drafts,29,http://www.nfl.com/draft/history/fulldraft?teamId=0750&type=team,2,44,http://www.nfl.com/players/kawannshort/profile?id=SHO598059,/players/kawannshort/profile?id=SHO598059,,Kawann Short,DT,Purdue
,30,2013 NFL Drafts,2013 NFL Drafts,30,http://www.nfl.com/draft/history/fulldraft?teamId=0750&type=team,4,108,http://www.nfl.com/players/edmundkugbila/profile?id=KUG095835,/players/edmundkugbila/profile?id=KUG095835,,Edmund Kugbila,G,Valdosta State
,31,2013 NFL Drafts,2013 NFL Drafts,31,http://www.nfl.com/draft/history/fulldraft?teamId=0750&type=team,5,148,http://www.nfl.com/players/a.j.klein/profile?id=KLE216860,/players/a.j.klein/profile?id=KLE216860,,A.J. Klein,ILB,Iowa State
,32,2013 NFL Drafts,2013 NFL Drafts,32,http://www.nfl.com/draft/history/fulldraft?teamId=0750&type=team,6,182,http://www.nfl.com/players/kenjonbarner/profile?id=BAR236353,/players/kenjonbarner/profile?id=BAR236353,,Kenjon Barner,RB,Oregon
,33,2013 NFL Drafts,2013 NFL Drafts,33,http://www.nfl.com/draft/history/fulldraft?teamId=0200&type=team,1,22,http://www.nfl.com/players/desmondtrufant/profile?id=TRU381665,/players/desmondtrufant/profile?id=TRU381665,,Desmond Trufant,CB,Washington
,34,2013 NFL Drafts,2013 NFL Drafts,34,http://www.nfl.com/draft/history/fulldraft?teamId=0200&type=team,2,60,http://www.nfl.com/players/robertalford/profile?id=ALF657259,/players/robertalford/profile?id=ALF657259,,Robert Alford,CB,Southeastern Louisiana
,35,2013 NFL Drafts,2013 NFL Drafts,35,http://www.nfl.com/draft/history/fulldraft?teamId=0200&type=team,4,127,http://www.nfl.com/players/malliciahgoodman/profile?id=GOO462374,/players/malliciahgoodman/profile?id=GOO462374,,Malliciah Goodman,DE,Clemson
,36,2013 NFL Drafts,2013 NFL Drafts,36,http://www.nfl.com/draft/history/fulldraft?teamId=0200&type=team,4,133,http://www.nfl.com/players/levinetoilolo/profile?id=TOI581408,/players/levinetoilolo/profile?id=TOI581408,,Levine Toilolo,TE,Stanford
,37,2013 NFL Drafts,2013 NFL Drafts,37,http://www.nfl.com/draft/history/fulldraft?teamId=0200&type=team,5,153,http://www.nfl.com/players/stanslymaponga/profile?id=MAP697687,/players/stanslymaponga/profile?id=MAP697687,,Stansly Maponga,DE,Texas Christian
,38,2013 NFL Drafts,2013 NFL Drafts,38,http://www.nfl.com/draft/history/fulldraft?teamId=0200&type=team,7,243,http://www.nfl.com/players/kemalishmael/profile?id=ISH415291,/players/kemalishmael/profile?id=ISH415291,,Kemal Ishmael,DB,Central Florida
,39,2013 NFL Drafts,2013 NFL Drafts,39,http://www.nfl.com/draft/history/fulldraft?teamId=0200&type=team,7,244,http://www.nfl.com/players/zekemotta/profile?id=MOT727654,/players/zekemotta/profile?id=MOT727654,,Zeke Motta,FS,Notre Dame
,40,2013 NFL Drafts,2013 NFL Drafts,40,http://www.nfl.com/draft/history/fulldraft?teamId=0200&type=team,7,249,http://www.nfl.com/players/seanrenfree/profile?id=REN135405,/players/seanrenfree/profile?id=REN135405,,Sean Renfree,QB,Duke
