"Pos","Num","property11","property12","Team.href","Team.text","Player Name.href","Player Name.text","Status","Quick Stats","property6","property7","property8","property9","property10","index","url"
"DE","58","INT","--","http://www.nfl.com/teams/arizonacardinals/profile?team=ARI","ARI","http://www.nfl.com/player/jasonbabin/2505900/profile","Babin, Jason","ACT","TCKL","0","SCK","--","FF","--","1","http://www.nfl.com/players/search?category=team&playerType=current&filter=3800"
"QB","9","RTG","0.0","http://www.nfl.com/teams/arizonacardinals/profile?team=ARI","ARI","http://www.nfl.com/player/mattbarkley/2539308/profile","Barkley, Matt","ACT","TDS","--","INT","--","YDS","--","2","http://www.nfl.com/players/search?category=team&playerType=current&filter=3800"
"CB","28","INT","2","http://www.nfl.com/teams/arizonacardinals/profile?team=ARI","ARI","http://www.nfl.com/player/justinbethel/2532792/profile","Bethel, Justin","ACT","TCKL","46","SCK","0.0","FF","2","3","http://www.nfl.com/players/search?category=team&playerType=current&filter=3800"
"WR","13","TDS","1","http://www.nfl.com/teams/arizonacardinals/profile?team=ARI","ARI","http://www.nfl.com/player/jaronbrown/2541966/profile","Brown, Jaron","ACT","REC","11","YDS","144","AVG","13.1","4","http://www.nfl.com/players/search?category=team&playerType=current&filter=3800"
"WR","12","TDS","7","http://www.nfl.com/teams/arizonacardinals/profile?team=ARI","ARI","http://www.nfl.com/player/johnbrown/2543847/profile","Brown, John","ACT","REC","65","YDS","1,003","AVG","15.4","5","http://www.nfl.com/players/search?category=team&playerType=current&filter=3800"
"DT","71","INT","--","http://www.nfl.com/teams/arizonacardinals/profile?team=ARI","ARI","http://www.nfl.com/player/redbryant/200/profile","Bryant, Red","ACT","TCKL","5","SCK","0.0","FF","0","6","http://www.nfl.com/players/search?category=team&playerType=current&filter=3800"
"OLB","20","INT","1","http://www.nfl.com/teams/arizonacardinals/profile?team=ARI","ARI","http://www.nfl.com/player/deonebucannon/2543769/profile","Bucannon, Deone","ACT","TCKL","112","SCK","3.0","FF","3","7","http://www.nfl.com/players/search?category=team&playerType=current&filter=3800"
"P","2","IN 20","22","http://www.nfl.com/teams/arizonacardinals/profile?team=ARI","ARI","http://www.nfl.com/player/drewbutler/2533003/profile","Butler, Drew","ACT","PUNTS","60","AVG","42.9","LNG","58","8","http://www.nfl.com/players/search?category=team&playerType=current&filter=3800"
"DE","93","INT","--","http://www.nfl.com/teams/arizonacardinals/profile?team=ARI","ARI","http://www.nfl.com/player/calaiscampbell/744/profile","Campbell, Calais","ACT","TCKL","61","SCK","5.0","FF","0","9","http://www.nfl.com/players/search?category=team&playerType=current&filter=3800"
"K","7","LNG","47","http://www.nfl.com/teams/arizonacardinals/profile?team=ARI","ARI","http://www.nfl.com/player/chandlercatanzaro/2550325/profile","Catanzaro, Chandler","ACT","FGA","31","FGM","28","PCT","90.3","10","http://www.nfl.com/players/search?category=team&playerType=current&filter=3800"
"TE","83","TDS","--","http://www.nfl.com/teams/arizonacardinals/profile?team=ARI","ARI","http://www.nfl.com/player/geraldchristian/2552462/profile","Christian, Gerald","RES","REC","--","YDS","--","AVG","--","11","http://www.nfl.com/players/search?category=team&playerType=current&filter=3800"
"DB","29","INT","--","http://www.nfl.com/teams/arizonacardinals/profile?team=ARI","ARI","http://www.nfl.com/player/chrisclemons/2507791/profile","Clemons, Chris","ACT","TCKL","5","SCK","0.0","FF","0","12","http://www.nfl.com/players/search?category=team&playerType=current&filter=3800"
"G","61","","","http://www.nfl.com/teams/arizonacardinals/profile?team=ARI","ARI","http://www.nfl.com/player/jonathancooper/2539272/profile","Cooper, Jonathan","ACT","G","14","GS","9","","","13","http://www.nfl.com/players/search?category=team&playerType=current&filter=3800"
"ILB","54","INT","--","http://www.nfl.com/teams/arizonacardinals/profile?team=ARI","ARI","http://www.nfl.com/player/kennydemens/2539969/profile","Demens, Kenny","RES","TCKL","3","SCK","0.0","FF","0","14","http://www.nfl.com/players/search?category=team&playerType=current&filter=3800"
"RB","38","TDS","3","http://www.nfl.com/teams/arizonacardinals/profile?team=ARI","ARI","http://www.nfl.com/player/andreellington/2539217/profile","Ellington, Andre","ACT","CAR","45","YDS","289","AVG","6.4","15","http://www.nfl.com/players/search?category=team&playerType=current&filter=3800"
"TE","85","TDS","3","http://www.nfl.com/teams/arizonacardinals/profile?team=ARI","ARI","http://www.nfl.com/player/darrenfells/2540928/profile","Fells, Darren","ACT","REC","21","YDS","311","AVG","14.8","16","http://www.nfl.com/players/search?category=team&playerType=current&filter=3800"
"WR","11","TDS","9","http://www.nfl.com/teams/arizonacardinals/profile?team=ARI","ARI","http://www.nfl.com/player/larryfitzgerald/2506106/profile","Fitzgerald, Larry","ACT","REC","109","YDS","1,215","AVG","11.1","17","http://www.nfl.com/players/search?category=team&playerType=current&filter=3800"
"WR","15","TDS","6","http://www.nfl.com/teams/arizonacardinals/profile?team=ARI","ARI","http://www.nfl.com/player/michaelfloyd/2532841/profile","Floyd, Michael","ACT","REC","52","YDS","849","AVG","16.3","18","http://www.nfl.com/players/search?category=team&playerType=current&filter=3800"
"LB","54","INT","--","http://www.nfl.com/teams/arizonacardinals/profile?team=ARI","ARI","http://www.nfl.com/player/dwightfreeney/2505016/profile","Freeney, Dwight","ACT","TCKL","9","SCK","8.0","FF","3","19","http://www.nfl.com/players/search?category=team&playerType=current&filter=3800"
"OLB","59","INT","--","http://www.nfl.com/teams/arizonacardinals/profile?team=ARI","ARI","http://www.nfl.com/player/alanifua/2553523/profile","Fua, Alani","ACT","TCKL","7","SCK","0.0","FF","0","20","http://www.nfl.com/players/search?category=team&playerType=current&filter=3800"
"OG","79","","","http://www.nfl.com/teams/arizonacardinals/profile?team=ARI","ARI","http://www.nfl.com/player/johnfullington/2550343/profile","Fullington, John","RES","G","--","GS","--","","","21","http://www.nfl.com/players/search?category=team&playerType=current&filter=3800"
"WR","10","TDS","0","http://www.nfl.com/teams/arizonacardinals/profile?team=ARI","ARI","http://www.nfl.com/player/brittangolden/2535988/profile","Golden, Brittan","ACT","REC","1","YDS","5","AVG","5.0","22","http://www.nfl.com/players/search?category=team&playerType=current&filter=3800"
"OLB","44","INT","--","http://www.nfl.com/teams/arizonacardinals/profile?team=ARI","ARI","http://www.nfl.com/player/markusgolden/2552273/profile","Golden, Markus","ACT","TCKL","31","SCK","4.0","FF","2","23","http://www.nfl.com/players/search?category=team&playerType=current&filter=3800"
"TE","84","TDS","1","http://www.nfl.com/teams/arizonacardinals/profile?team=ARI","ARI","http://www.nfl.com/player/jermainegresham/497238/profile","Gresham, Jermaine","ACT","REC","18","YDS","223","AVG","12.4","24","http://www.nfl.com/players/search?category=team&playerType=current&filter=3800"
"NT","95","INT","--","http://www.nfl.com/teams/arizonacardinals/profile?team=ARI","ARI","http://www.nfl.com/player/rodneygunter/2553437/profile","Gunter, Rodney","ACT","TCKL","19","SCK","1.0","FF","0","25","http://www.nfl.com/players/search?category=team&playerType=current&filter=3800"
"OT","74","","","http://www.nfl.com/teams/arizonacardinals/profile?team=ARI","ARI","http://www.nfl.com/player/d.j.humphries/2552626/profile","Humphries, D.J.","ACT","G","0","GS","0","","","26","http://www.nfl.com/players/search?category=team&playerType=current&filter=3800"
"G","76","","","http://www.nfl.com/teams/arizonacardinals/profile?team=ARI","ARI","http://www.nfl.com/player/mikeiupati/497016/profile","Iupati, Mike","ACT","G","13","GS","13","","","27","http://www.nfl.com/players/search?category=team&playerType=current&filter=3800"
"SS","22","INT","2","http://www.nfl.com/teams/arizonacardinals/profile?team=ARI","ARI","http://www.nfl.com/player/tonyjefferson/2540164/profile","Jefferson, Tony","ACT","TCKL","78","SCK","2.0","FF","3","28","http://www.nfl.com/players/search?category=team&playerType=current&filter=3800"
