"Pos","Num","property11","property12","Team.href","Team.text","Player Name.href","Player Name.text","Status","Quick Status","property6","property7","property8","property9","property10","index","url"
"DB","20","INT","1","http://www.nfl.com/teams/atlantafalcons/profile?team=ATL","ATL","http://www.nfl.com/player/phillipadams/1037889/profile","Adams, Phillip","ACT","TCKL","38","SCK","0.0","FF","1","1","http://www.nfl.com/players/search?category=team&playerType=current&filter=0200"
"CB","23","INT","2","http://www.nfl.com/teams/atlantafalcons/profile?team=ATL","ATL","http://www.nfl.com/player/robertalford/2539653/profile","Alford, Robert","ACT","TCKL","53","SCK","0.0","FF","0","2","http://www.nfl.com/players/search?category=team&playerType=current&filter=0200"
"FS","37","INT","3","http://www.nfl.com/teams/atlantafalcons/profile?team=ATL","ATL","http://www.nfl.com/player/ricardoallen/2543850/profile","Allen, Ricardo","ACT","TCKL","68","SCK","1.0","FF","0","3","http://www.nfl.com/players/search?category=team&playerType=current&filter=0200"
"NT","95","INT","1","http://www.nfl.com/teams/atlantafalcons/profile?team=ATL","ATL","http://www.nfl.com/player/jonathanbabineaux/2506398/profile","Babineaux, Jonathan","ACT","TCKL","30","SCK","1.5","FF","1","4","http://www.nfl.com/players/search?category=team&playerType=current&filter=0200"
"DE","44","INT","1","http://www.nfl.com/teams/atlantafalcons/profile?team=ATL","ATL","http://www.nfl.com/player/vicbeasley/2552301/profile","Beasley, Vic","ACT","TCKL","26","SCK","4.0","FF","2","5","http://www.nfl.com/players/search?category=team&playerType=current&filter=0200"
"OLB","71","INT","--","http://www.nfl.com/teams/atlantafalcons/profile?team=ATL","ATL","http://www.nfl.com/player/kroybiermann/2664/profile","Biermann, Kroy","ACT","TCKL","54","SCK","2.5","FF","1","6","http://www.nfl.com/players/search?category=team&playerType=current&filter=0200"
"P","5","IN 20","24","http://www.nfl.com/teams/atlantafalcons/profile?team=ATL","ATL","http://www.nfl.com/player/mattbosher/2495124/profile","Bosher, Matt","ACT","PUNTS","58","AVG","47.2","LNG","69","7","http://www.nfl.com/players/search?category=team&playerType=current&filter=0200"
"K","3","LNG","47","http://www.nfl.com/teams/atlantafalcons/profile?team=ATL","ATL","http://www.nfl.com/player/mattbryant/2504797/profile","Bryant, Matt","RES","FGA","18","FGM","14","PCT","77.8","8","http://www.nfl.com/players/search?category=team&playerType=current&filter=0200"
"OG","65","","","http://www.nfl.com/teams/atlantafalcons/profile?team=ATL","ATL","http://www.nfl.com/player/chrischester/2495819/profile","Chester, Chris","ACT","G","16","GS","16","","","9","http://www.nfl.com/players/search?category=team&playerType=current&filter=0200"
"DE","99","INT","--","http://www.nfl.com/teams/atlantafalcons/profile?team=ATL","ATL","http://www.nfl.com/player/adrianclayborn/2495140/profile","Clayborn, Adrian","ACT","TCKL","15","SCK","3.0","FF","0","10","http://www.nfl.com/players/search?category=team&playerType=current&filter=0200"
"RB","26","TDS","1","http://www.nfl.com/teams/atlantafalcons/profile?team=ATL","ATL","http://www.nfl.com/player/tevincoleman/2552453/profile","Coleman, Tevin","ACT","CAR","87","YDS","392","AVG","4.5","11","http://www.nfl.com/players/search?category=team&playerType=current&filter=0200"
