"Pos","Num","property11","property12","Team.href","Team.text","Player Name.href","Player Name.text","Status","Quick Stats","property6","property7","property8","property9","property10","index","url"
"WR","11","TDS","5","http://www.nfl.com/teams/baltimoreravens/profile?team=BAL","BAL","http://www.nfl.com/player/kamaraiken/2530660/profile","Aiken, Kamar","ACT","REC","75","YDS","944","AVG","12.6","1","http://www.nfl.com/players/search?category=team&filter=0325&playerType=current"
"RB","37","TDS","1","http://www.nfl.com/teams/baltimoreravens/profile?team=BAL","BAL","http://www.nfl.com/player/javoriusallen/2552631/profile","Allen, Javorius","ACT","CAR","137","YDS","514","AVG","3.8","2","http://www.nfl.com/players/search?category=team&filter=0325&playerType=current"
"CB","24","INT","--","http://www.nfl.com/teams/baltimoreravens/profile?team=BAL","BAL","http://www.nfl.com/player/kylearrington/2507430/profile","Arrington, Kyle","ACT","TCKL","28","SCK","0.0","FF","1","3","http://www.nfl.com/players/search?category=team&filter=0325&playerType=current"
"TE","82","TDS","0","http://www.nfl.com/teams/baltimoreravens/profile?team=BAL","BAL","http://www.nfl.com/player/nickboyle/2552402/profile","Boyle, Nick","SUS","REC","18","YDS","153","AVG","8.5","4","http://www.nfl.com/players/search?category=team&filter=0325&playerType=current"
"FS","31","INT","--","http://www.nfl.com/teams/baltimoreravens/profile?team=BAL","BAL","http://www.nfl.com/player/terrencebrooks/2543712/profile","Brooks, Terrence","ACT","TCKL","8","SCK","0.0","FF","0","5","http://www.nfl.com/players/search?category=team&filter=0325&playerType=current"
"ILB","59","INT","--","http://www.nfl.com/teams/baltimoreravens/profile?team=BAL","BAL","http://www.nfl.com/player/arthurbrown/2539245/profile","Brown, Arthur","ACT","TCKL","2","SCK","0.0","FF","0","6","http://www.nfl.com/players/search?category=team&filter=0325&playerType=current"
"WR","83","TDS","0","http://www.nfl.com/teams/baltimoreravens/profile?team=BAL","BAL","http://www.nfl.com/player/danielbrown/2553900/profile","Brown, Daniel","ACT","REC","6","YDS","64","AVG","10.7","7","http://www.nfl.com/players/search?category=team&filter=0325&playerType=current"
"WR","14","TDS","0","http://www.nfl.com/teams/baltimoreravens/profile?team=BAL","BAL","http://www.nfl.com/player/marlonbrown/2540005/profile","Brown, Marlon","RES","REC","14","YDS","112","AVG","8.0","8","http://www.nfl.com/players/search?category=team&filter=0325&playerType=current"
"WR","17","TDS","0","http://www.nfl.com/teams/baltimoreravens/profile?team=BAL","BAL","http://www.nfl.com/player/jeremybutler/2550183/profile","Butler, Jeremy","ACT","REC","31","YDS","363","AVG","11.7","9","http://www.nfl.com/players/search?category=team&filter=0325&playerType=current"
"WR","15","TDS","0","http://www.nfl.com/teams/baltimoreravens/profile?team=BAL","BAL","http://www.nfl.com/player/michaelcampanaro/2550163/profile","Campanaro, Michael","RES","REC","5","YDS","35","AVG","7.0","10","http://www.nfl.com/players/search?category=team&filter=0325&playerType=current"
